date;nom_du_cafe;adresse;arrondissement;prix_comptoir;prix_salle;prix_terasse;geoloc
2014-02-01;Extérieur Quai;5, rue d'Alsace;75010;1;-;-;48.876737 2.357601
2014-02-01;Le Sully;6 Bd henri IV;75004;1;-;-;48.847552 2.364719
2013-08-22;O q de poule;53 rue du ruisseau;75018;1;-;1;48.893517 2.340271
2013-08-22;Le Pas Sage;1 Passage du Grand Cerf;75002;1;-;-;48.864655 2.350089
2013-08-22;Le Dunois;77 rue Dunois;75013;1;-;-;48.833305 2.36586
2013-08-22;La Renaissance;112 Rue Championnet;75018;1;-;-;48.895825 2.339712
2012-10-22;Le chantereine;51 Rue Victoire;75009;1;1;-;48.875155 2.335536
2012-10-22;Le Müller;11 rue Feutrier;75018;1;1;-;48.886536 2.346525
2012-10-22;Le drapeau de la fidelité;21 rue Copreaux;75015;1;1;-;48.841494 2.307117
2012-10-22;Le café des amis;125 rue Blomet;75015;1;1;-;48.839743 2.296898
2012-10-09;Le Café Livres;10 rue Saint Martin;75004;1;-;-;48.857728 2.349641
2012-10-09;Le Bosquet;46 avenue Bosquet;75007;1;-;-;48.856003 2.30457
2012-03-07;Le Brio;216, rue Marcadet;75018;1;-;-;48.891864 2.333628
2012-03-07;Le Kleemend's;34 avenue Pierre Mendès-France;75013;1;-;-;48.838521 2.370478
2012-03-07;Café Pierre;202 rue du faubourg st antoine;75012;1;-;-;48.849861 2.385342
2012-03-07;Les Arcades;61 rue de Ponthieu;75008;1;-;-;48.872202 2.304624
2012-03-07;Le Square;31 rue Saint-Dominique;75007;1;-;-;48.859031 2.320315
2012-06-27;Assaporare Dix sur Dix;75, avenue Ledru-Rollin;75012;1;-;-;48.850092 2.37463
2012-06-27;Au cerceau d'or;129 boulevard sebastopol;75002;1;-;-;48.86805 2.353313
2012-06-27;Café antoine;17 rue Jean de la Fontaine;75016;1;-;-;48.851662 2.273883
2012-06-27;Café Lea;5 rue Claude Bernard;75005;1;-;-;48.838633 2.349916
2012-06-27;Cardinal Saint-Germain;11 boulevard Saint-Germain;75005;1;-;-;48.849293 2.354486
2012-06-27;Dédé la frite;52 rue Notre-Dame des Victoires;75002;1;-;-;48.869771 2.342501
2012-06-27;La Bauloise;36 rue du hameau;75015;1;-;-;48.834051 2.287345
2012-06-27;Le Bellerive;71 quai de Seine;75019;1;-;-;48.888165 2.377387
2012-06-27;Le bistrot de Maëlle et Augustin;42 rue coquillère;75001;1;-;-;48.864543 2.340997
2012-06-27;Le Dellac;14 rue Rougemont;75009;1;-;-;48.872103 2.346161
2012-06-27;Le Felteu;1 rue Pecquay;75004;1;-;-;48.859645 2.355598
