objectid;nom_site;adresse;code_site;arrondissement;geo_shape;lat;lon
11;MAISON DES ASSOCIATIONS DU 03;2, RUE EUGENE SPULLER;PARIS-WIFI_0303;75003;"{""type"": ""Point"", ""coordinates"": [2.362232617607729, 48.86407366061126]}";48,86407366;2,362232618
23;HOTEL DE VILLE (2E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0409;75004;"{""type"": ""Point"", ""coordinates"": [2.352774826515343, 48.856849760890654]}";48,85684976;2,352774827
27;HOTEL DE VILLE (SOUS-SOL ET RDC);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0413;75004;"{""type"": ""Point"", ""coordinates"": [2.352924086663919, 48.85662241805264]}";48,85662242;2,352924087
29;MAISON DE VICTOR HUGO (HOTEL DE ROHAN - GUEMENEE);6, PLACE DES VO10ES;PARIS_WIFI_0415;75004;"{""type"": ""Point"", ""coordinates"": [2.366113779351594, 48.854818573955065]}";48,85481857;2,366113779
30;MAISON DES ASSOCIATIONS DU 04;38, BOULEVARD HENRI IV;PARIS_WIFI_0416;75004;"{""type"": ""Point"", ""coordinates"": [2.366416990184537, 48.85219499458265]}";48,85219499;2,36641699
35;SQUARE JEAN XXIII;RUE DU CLOITRE NOTRE DAME;PARIS_WIFI_0421;75004;"{""type"": ""Point"", ""coordinates"": [2.351606662535604, 48.85202658237664]}";48,85202658;2,351606663
45;BIBLIOTHEQUE MOHAMMED ARKOUN - EX : MOUFFETARD;74, RUE MOUFFETARD;PARIS_WIFI_0504;75005;"{""type"": ""Point"", ""coordinates"": [2.349655223632121, 48.84249074764757]}";48,84249075;2,349655224
46;BIBLIOTHEQUE PORT ROYAL;88 TER, BOULEVARD DE PORT ROYAL;PARIS_WIFI_0505;75005;"{""type"": ""Point"", ""coordinates"": [2.338846324612675, 48.83923878025884]}";48,83923878;2,338846325
49;MAISON DES ASSOCIATIONS DU 05;4, RUE DES ARENES;PARIS_WIFI_0509;75005;"{""type"": ""Point"", ""coordinates"": [2.354212281119752, 48.84510688598606]}";48,84510689;2,354212281
50;SQUARE DES ARENES DE LUTECE;RUE MONGE;PARIS_WIFI_0510;75005;"{""type"": ""Point"", ""coordinates"": [2.353227824325323, 48.84545855986536]}";48,84545856;2,353227824
51;SQUARE PAUL LANGEVIN;RUE DES ECOLES;PARIS_WIFI_0511;75005;"{""type"": ""Point"", ""coordinates"": [2.350360672763171, 48.847943173024106]}";48,84794317;2,350360673
70;BIBLIOTHEQUE EUROPE (MAIRIE DU 8E);3, RUE DE LISBONNE;PARIS_WIFI_0802;75008;"{""type"": ""Point"", ""coordinates"": [2.317484081769469, 48.87776448898433]}";48,87776449;2,317484082
71;CENTRE D'ANIMATION ESPACE BEAUJON;208, RUE DU FAUBOURG SAINT HONORE;PARIS_WIFI_0803;75008;"{""type"": ""Point"", ""coordinates"": [2.304608355096973, 48.875361398114826]}";48,8753614;2,304608355
73;MAIRIE  08;3, RUE DE LISBONNE;PARIS_WIFI_0805;75008;"{""type"": ""Point"", ""coordinates"": [2.317650842450353, 48.87777080776416]}";48,87777081;2,317650842
75;MUSEE CERNUSCHI;7, AVENUE VELASQUEZ;PARIS_WIFI_0807;75008;"{""type"": ""Point"", ""coordinates"": [2.312362802778454, 48.879709402527524]}";48,8797094;2,312362803
88;SQUARE MONTHOLON;RUE LA FAYETTE;PARIS_WIFI_0908;75009;"{""type"": ""Point"", ""coordinates"": [2.346727804989883, 48.87716543245961]}";48,87716543;2,346727805
91;BIBLIOTHEQUE CHATEAU D'EAU;72, RUE DU FAUBOURG SAINT MARTIN;PARIS_WIFI_1001;75010;"{""type"": ""Point"", ""coordinates"": [2.35747939352296, 48.87198632296065]}";48,87198632;2,357479394
104;PLACE DE LA REPUBLIQUE EST;PLACE DE LA REPUBLIQUE;PARIS_WIFI-1014;75010;"{""type"": ""Point"", ""coordinates"": [2.364532357969546, 48.86714354650786]}";48,86714355;2,364532358
116;PROMENADE RICHARD LENOIR;67, BOULEVARD RICHARD LENOIR;PARIS_WIFI_1110;75011;"{""type"": ""Point"", ""coordinates"": [2.371965556192567, 48.859187870465114]}";48,85918787;2,371965556
118;SQUARE CHARONNE;159, RUE DE CHARONNE;PARIS_WIFI_1112;75011;"{""type"": ""Point"", ""coordinates"": [2.389537068856354, 48.85653437930169]}";48,85653438;2,389537069
123;ACTIVITES ARTISANALES ET CREATION;30, RUE DU FAUBOURG SAINT ANTOINE;PARIS_WIFI_1201;75012;"{""type"": ""Point"", ""coordinates"": [2.371757060332373, 48.85238585519887]}";48,85238586;2,37175706
146;ECOLE DU BREUIL;ROUTE DE LA FERME;PARIS_WIFI_1225;75012;"{""type"": ""Point"", ""coordinates"": [2.459716037487984, 48.82414199112698]}";48,82414199;2,459716037
147;PARC FLORAL;Avenue des Minimes;PARIS_WIFI_1226;75012;"{""type"": ""Point"", ""coordinates"": [2.442404644060765, 48.838020888900196]}";48,83802089;2,442404644
149;BIBLIOTHEQUE ITALIE;211, BOULEVARD VINCENT AURIOL;PARIS_WIFI_1302;75013;"{""type"": ""Point"", ""coordinates"": [2.357068895746005, 48.830919616345376]}";48,83091962;2,357068896
154;Centre Sportif Georges Carpentier Gymnase Annexe;81, BOULEVARD MASSENA;PARIS_WIFI_1307;75013;"{""type"": ""Point"", ""coordinates"": [2.36824852956735, 48.820600553931804]}";48,82060055;2,36824853
158;JARDIN DE LA MONTGOLFIERE (ex MOULINET VANDREZANN);RUE DU MOULINET;PARIS_WIFI_1311;75013;"{""type"": ""Point"", ""coordinates"": [2.354051965235468, 48.82708735646411]}";48,82708736;2,354051965
161;JARDIN MICHELET;237, RUE DE TOLBIAC;PARIS_WIFI_1314;75013;"{""type"": ""Point"", ""coordinates"": [2.343275708773383, 48.826005031790416]}";48,82600503;2,343275709
170;SQUARE DE LA RAFFINERIE SAY;BOULEVARD VINCENT AURIOL;PARIS_WIFI_1323;75013;"{""type"": ""Point"", ""coordinates"": [2.360820093629506, 48.831930982076045]}";48,83193098;2,360820094
175;SQUARE HELOISE ET ABELARD;22, RUE PIERRE GOURDAULT;PARIS_WIFI_1328;75013;"{""type"": ""Point"", ""coordinates"": [2.369617801195923, 48.83116090172131]}";48,8311609;2,369617801
179;STADE CHARLETY;99 BOULEVARD KELLERMANN;PARIS_WIFI_1332;75013;"{""type"": ""Point"", ""coordinates"": [2.345703402700616, 48.818991525017005]}";48,81899153;2,345703403
187;JARDIN JULES NOEL;3, AVENUE MAURICE D'OCAGNE;PARIS_WIFI_1407;75014;"{""type"": ""Point"", ""coordinates"": [2.314724532752332, 48.824294428460405]}";48,82429443;2,314724533
188;JARDIN PORTE DE CHATILLON;16-26, RUE DE CHATILLON;PARIS_WIFI_1408;75014;"{""type"": ""Point"", ""coordinates"": [2.322546139346144, 48.82795457520279]}";48,82795458;2,322546139
191;PARC MONTSOURIS;2, RUE GAZAN;PARIS_WIFI_1411;75014;"{""type"": ""Point"", ""coordinates"": [2.336452517695331, 48.824067926585286]}";48,82406793;2,336452518
192;PARC MONTSOURIS;2, RUE GAZAN;PARIS_WIFI_1412;75014;"{""type"": ""Point"", ""coordinates"": [2.339750525259541, 48.82376930486854]}";48,8237693;2,339750525
202;BIBLIOTHEQUE VAUGIRARD;154, RUE LECOURBE;PARIS_WIFI_1503;75015;"{""type"": ""Point"", ""coordinates"": [2.299332187518333, 48.8417043875888]}";48,84170439;2,299332188
205;CENTRE ANIMATION ESPACE CEVENNES;9, RUE DE LA MONTAGNE D'AULAS;PARIS_WIFI_1506;75015;"{""type"": ""Point"", ""coordinates"": [2.2789082545070958, 48.84031683777133]}";48,84031684;2,278908255
206;CENTRE SPORTIF SUZANNE LENGLEN  (TRIBUNE COUR DE TENNIS);2, RUE LOUIS ARMAND;PARIS_WIFI_1507;75015;"{""type"": ""Point"", ""coordinates"": [2.268608057263295, 48.83078751182213]}";48,83078751;2,268608057
210;JARDIN NICOLE DE HAUTECLOCQUE;28, RUE EDGAR FAURE;PARIS_WIFI_1511;75015;"{""type"": ""Point"", ""coordinates"": [2.295037777033956, 48.851972743705815]}";48,85197274;2,295037777
