objectid;nom_site;adresse;code_site;arrondissement;geo_shape;geo_point_2d
11;MAISON DES ASSOCIATIONS DU 03;2, RUE EUGENE SPULLER;PARIS-WIFI_0303;75003;POINT(2.362232617607729 48.86407366061126);48.8640736606 2.36223261761
23;HOTEL DE VILLE (2E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0409;75004;POINT(2.352774826515343 48.856849760890654);48.8568497609 2.35277482652
27;HOTEL DE VILLE (SOUS-SOL ET RDC);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0413;75004;POINT(2.352924086663919 48.85662241805264);48.8566224181 2.35292408666
29;MAISON DE VICTOR HUGO (HOTEL DE ROHAN - GUEMENEE);6, PLACE DES VO10ES;PARIS_WIFI_0415;75004;POINT(2.366113779351594 48.854818573955065);48.854818574 2.36611377935
30;MAISON DES ASSOCIATIONS DU 04;38, BOULEVARD HENRI IV;PARIS_WIFI_0416;75004;POINT(2.366416990184537 48.85219499458265);48.8521949946 2.36641699018
35;SQUARE JEAN XXIII;RUE DU CLOITRE NOTRE DAME;PARIS_WIFI_0421;75004;POINT(2.351606662535604 48.85202658237664);48.8520265824 2.35160666254
45;BIBLIOTHEQUE MOHAMMED ARKOUN - EX : MOUFFETARD;74, RUE MOUFFETARD;PARIS_WIFI_0504;75005;POINT(2.349655223632121 48.84249074764757);48.8424907476 2.34965522363
46;BIBLIOTHEQUE PORT ROYAL;88 TER, BOULEVARD DE PORT ROYAL;PARIS_WIFI_0505;75005;POINT(2.338846324612675 48.83923878025884);48.8392387803 2.33884632461
49;MAISON DES ASSOCIATIONS DU 05;4, RUE DES ARENES;PARIS_WIFI_0509;75005;POINT(2.354212281119752 48.84510688598606);48.845106886 2.35421228112
50;SQUARE DES ARENES DE LUTECE;RUE MONGE;PARIS_WIFI_0510;75005;POINT(2.353227824325323 48.84545855986536);48.8454585599 2.35322782433
51;SQUARE PAUL LANGEVIN;RUE DES ECOLES;PARIS_WIFI_0511;75005;POINT(2.350360672763171 48.847943173024106);48.847943173 2.35036067276
70;BIBLIOTHEQUE EUROPE (MAIRIE DU 8E);3, RUE DE LISBONNE;PARIS_WIFI_0802;75008;POINT(2.317484081769469 48.87776448898433);48.877764489 2.31748408177
71;CENTRE D'ANIMATION ESPACE BEAUJON;208, RUE DU FAUBOURG SAINT HONORE;PARIS_WIFI_0803;75008;POINT(2.304608355096973 48.875361398114826);48.8753613981 2.3046083551
73;MAIRIE  08;3, RUE DE LISBONNE;PARIS_WIFI_0805;75008;POINT(2.317650842450353 48.87777080776416);48.8777708078 2.31765084245
75;MUSEE CERNUSCHI;7, AVENUE VELASQUEZ;PARIS_WIFI_0807;75008;POINT(2.312362802778454 48.879709402527524);48.8797094025 2.31236280278
88;SQUARE MONTHOLON;RUE LA FAYETTE;PARIS_WIFI_0908;75009;POINT(2.346727804989883 48.87716543245961);48.8771654325 2.34672780499
